,English,English_cleaned,Spanish,French,German
0,it was so good,it was so good,fue muy bueno,c'était trop bien,es war so gut
1,it was working,it was working,estaba funcionando,ça fonctionnait,es funktionierte
2,it wasn't easy,it was not easy,no fue fácil,Ce n'était pas facile,es war nicht einfach
3,it wasn't luck,it was not luck,no fue suerte,ce n'était pas de la chance,es war kein Glück
4,it wasn't mine,it was not mine,no era mio,ce n'était pas le mien,es war nicht meins
5,it'll work now,it will work now,funcionará ahora,ça va marcher maintenant,es wird jetzt funktionieren
6,it's christmas,it is christmas,Es navidad,c'est Noël,es ist weihnachten
7,it's wednesday,it is wednesday,es miércoles,c'est mercredi,es ist Mittwoch
8,it's a bargain,it is a bargain,es una ganga,c'est une bonne affaire,Es ist ein Schnäppchen
9,it's a big one,it is a big one,es uno grande,c'est un grand,es ist ein großes
10,it's a classic,it is a classic,es un clasico,c'est un classique,es ist ein klassiker
11,it's a miracle,it is a miracle,esto es un milagro,c'est un miracle,es ist ein Wunder
12,it's a mistake,it is a mistake,Es un error,c'est une erreur,Es ist ein Fehler
13,it's a problem,it is a problem,Es un problema,c'est un problème,es ist ein Problem
14,it's all clear,it is all clear,esta todo claro,tout est clair,es ist alles klar
15,it's all right,it is all right,Está bien,Tout va bien,es ist alles in Ordnung
16,it's all there,it is all there,esta todo ahi,tout est là,es ist alles da
17,it's all white,it is all white,es todo blanco,c'est tout blanc,es ist alles weiß
18,it's all wrong,it is all wrong,todo está mal,tout est faux,es ist alles falsch
19,it's all yours,it is all yours,es todo tuyo,c'est tout à toi,es ist alles deins
20,it's an ambush,it is an ambush,es una emboscada,c'est une embuscade,es ist ein Hinterhalt
21,it's an excuse,it is an excuse,es una excusa,c'est un prétexte,es ist eine Ausrede
22,it's beautiful,it is beautiful,es hermoso,C'est beau,es ist schön
23,it's beyond me,it is beyond me,está más allá de mí,ça me dépasse,es ist mir ein Rätsel
24,it's brand new,it is brand new,es nuevo,c'est tout neuf,es ist ganz neu
25,it's cold here,it is cold here,hace frío aquí,il fait froid ici,es ist kalt hier
26,it's dangerous,it is dangerous,es peligroso,c'est dangereux,es ist gefährlich
27,it's different,it is different,es diferente,c'est différent,es ist anders
28,it's dishonest,it is dishonest,es deshonesto,c'est malhonnête,es ist unehrlich
29,it's expensive,it is expensive,es caro,il est coûteux,es ist teuer
30,it's forbidden,it is forbidden,esta prohibido,c'est interdit,es ist verboten
31,it's important,it is important,es importante,C'est important,es ist wichtig
32,it's inspiring,it is inspiring,es inspirador,c'est inspirant,es ist inspirierend
33,it's no secret,it is no secret,no es ningún secreto,Ce n'est pas un secret,Es ist kein Geheimnis
34,it's not a dog,it is not a dog,no es un perro,ce n'est pas un chien,es ist kein hund
35,it's not funny,it is not funny,no es gracioso,ce n'est pas drôle,es ist nicht lustig
36,it's not right,it is not right,no está bien,Ce n'est pas correct,es ist nicht richtig
37,it's not weird,it is not weird,no es raro,ce n'est pas bizarre,es ist nicht seltsam
38,it's our fault,it is our fault,es nuestra culpa,c'est notre faute,es ist unsere schuld
39,it's redundant,it is redundant,es redundante,c'est redondant,es ist überflüssig
40,it's revolting,it is revolting,es repugnante,c'est révoltant,es ist abstoßend
41,it's safe here,it is safe here,es seguro aquí,c'est sûr ici,hier ist es sicher
42,it's so pretty,it is so pretty,es tan bonito,c'est tellement joli,es ist so hübsch
43,it's the truth,it is the truth,es la verdad,c'est la vérité,es ist die Wahrheit
44,it's this book,it is this book,es este libro,c'est ce livre,es ist dieses Buch
45,it's too early,it is too early,Es demasiado temprano,c'est trop tôt,es ist zu früh
46,it's too large,it is too large,es demasiado grande,c'est trop grand,es ist zu groß
47,it's too quiet,it is too quiet,es demasiado silencioso,c'est trop calme,es ist zu leise
48,it's too risky,it is too risky,es demasiado arriesgado,c'est trop risqué,es ist zu riskant
49,it's too small,it is too small,es demasiado pequeño,c'est trop petit,es ist zu klein
50,it's undamaged,it is undamaged,esta intacto,il est intact,es ist unbeschädigt
51,it's up to you,it is up to you,es tu decision,C'est comme tu veux,es liegt an dir
52,it's very cold,it is very cold,hace mucho frío,il fait très froid,es ist sehr kalt
53,it's very dark,it is very dark,es muy oscuro,il est très sombre,Es ist sehr dunkel
54,it's very good,it is very good,es muy bueno,c'est très bien,es ist sehr gut
55,it's very late,it is very late,es muy tarde,C'est très tard,es ist sehr spät
56,it's vibrating,it is vibrating,esta vibrando,ça vibre,es vibriert
57,it's well done,it is well done,esta bien hecho,c'est bien fait,es ist gut gemacht
58,it's what i am,it is what i am,es lo que soy,c'est ce que je suis,"es ist, was ich bin"
59,it's your book,it is your book,es tu libro,c'est ton livre,es ist dein Buch
60,it's your life,it is your life,es tu vida,c'est ta vie,es ist dein Leben
61,it's your turn,it is your turn,es tu turno,c'est ton tour,du bist dran
62,just forget it,just forget it,solo olvídalo,oublie juste ça,Vergiss es einfach
63,just ignore it,just ignore it,simplemente ignóralo,n'y faites pas attention,ignoriere es einfach
64,just sign here,just sign here,solo firma aquí,signe juste ici,einfach hier unterschreiben
65,just sign this,just sign this,solo firma esto,signe juste ceci,unterschreibe das einfach
66,just take mine,just take mine,solo toma el mio,prends juste le mien,nimm einfach meine
67,keep listening,keep listening,sigue escuchando,Continuez à écouter,höre weiter zu
68,keep on trying,keep on trying,seguir intentando,continuer à essayer,Versuch es weiter
69,keep searching,keep searching,sigue buscando,continuer les recherches,Suche weiter
70,keep the money,keep the money,guarda el dinero,garde l'argent,behalte das Geld
71,kids are cruel,kids are cruel,los niños son crueles,les enfants sont cruels,Kinder sind grausam
72,leave it there,leave it there,déjalo ahí,laisse-le ici,Lass es da
73,leave it to me,leave it to me,déjamelo a mí,laisse le moi,überlass es mir
74,leave it to us,leave it to us,Dejanoslo a nosotros,laissez-le nous,überlasse es uns
75,leave me alone,leave me alone,Déjame en paz,Laisse-moi tranquille,Lass mich alleine
76,leave my house,leave my house,salir de mi casa,quitte ma maison,Verlass mein Haus
77,leave us alone,leave us alone,dejarnos solos,Laisse-nous tranquille,Lass uns in Ruhe
78,lend me a hand,lend me a hand,ayúdame,Prêtez moi une main,Hilf mir mal
79,let tom answer,let tom answer,deja que tom responda,laisse Tom répondre,Lass Tom antworten
80,let tom decide,let tom decide,deja que tom decida,laisse tom décider,Lass Tom entscheiden
81,let me do that,let me do that,dejame hacer eso,laisse moi faire ça,Lass mich das tun
82,let me do this,let me do this,Déjame hacer esto,laisse moi faire ça,Lassen Sie mich dies tun
83,let me explain,let me explain,Dejame explicar,laisse-moi expliquer,lassen Sie mich erklären
84,let me hear it,let me hear it,déjame escucharlo,laisse moi l'entendre,lass es mich hören
85,let the boy go,let the boy go,deja ir al chico,laisse le garçon partir,lass den Jungen gehen
86,let the dog go,let the dog go,deja ir al perro,laisser partir le chien,lass den Hund gehen
87,let's ask them,let us ask them,vamos a preguntarles,demandons-leur,fragen wir sie
88,let's be clear,let us be clear,seamos claros,soyons clairs,Lassen Sie uns klar sein
89,let's be frank,let us be frank,seamos francos,soyons francs,seien wir ehrlich
90,let's be happy,let us be happy,seamos felices,soyons heureux,lass uns glücklich sein
91,let's call tom,let us call tom,llamemos a tom,appelons tom,Lass uns Tom nennen
92,let's continue,let us continue,continuemos,continuons,lass uns weitermachen
93,let's end this,let us end this,acabemos con esto,finissons-en,lass uns das beenden
94,let's get home,let us get home,vamos a casa,rentrons à la maison,lass uns nach Hause gehen
95,let's get real,let us get real,seamos realistas,soyons réalistes,lass uns real werden
96,let's go again,let us go again,vamos de nuevo,repartons,lass uns wieder gehen
97,let's have fun,let us have fun,vamos a divertirnos,amusons-nous,lass uns Spaß haben
98,let's hope not,let us hope not,esperemos que no,espérons que non,hoffen wir nicht
99,let's hurry up,let us hurry up,démonos prisa,dépêchez-vous,beeilen wir uns
100,let's not talk,let us not talk,no hablemos,ne parlons pas,lass uns nicht reden
101,let's sit down,let us sit down,sentémonos,asseyons-nous,lass uns sitzen
102,let's try that,let us try that,intentemos eso,essayons ça,lass uns das versuchen
103,let's try this,let us try this,intentemos esto,essayons ceci,lass uns das versuchen
104,let's watch tv,let us watch tv,vamos a ver la televisión,regardons la télé,lass uns fernsehen
105,listen closely,listen closely,escucha atentamente,écouter attentivement,Hör genau zu
106,listen to this,listen to this,escucha esto,écoute ça,hör dir das an
107,live and learn,live and learn,vive y aprende,vivre et apprendre,leben und lernen
108,lock the doors,lock the doors,Cierra las puertas,Verrouillez les portes,schließ die Tür
109,lock your door,lock your door,cierra tu puerta,verrouille ta porte,Schließe deine Tür ab
110,look after tom,look after tom,cuida de tom,prendre soin de tom,pass auf tom auf
111,look at my arm,look at my arm,mira mi brazo,regarde mon bras,schau dir meinen Arm an
112,look for clues,look for clues,busca pistas,chercher des indices,Such nach Hinweisen
113,lunch is ready,lunch is ready,El almuerzo esta listo,Le repas est prêt,Essen ist fertig
114,make an effort,make an effort,Haz un esfuerzo,faire un effort,sich anstrengen
115,make it larger,make it larger,hazlo más grande,le rendre plus grand,größer machen
116,make your move,make your move,Hacer su movimiento,fait ton mouvement,mach deinen Zug
117,many fish died,many fish died,muchos peces murieron,beaucoup de poissons sont morts,Viele Fische starben
118,mary is lovely,mary is lovely,María es encantadora,Marie est adorable,maria ist schön
119,may i eat this,may i eat this,puedo comer esto,puis-je manger ça,darf ich das essen
120,may i go first,may i go first,puedo ir primero,puis-je passer en premier,darf ich zuerst gehen
121,may i help you,may i help you,Puedo ayudarlo,puis-je vous aider,Kann ich dir helfen
122,may i join you,may i join you,puedo unirme a ustedes,puis-je vous rejoindre,kann ich dich begleiten
123,may i kiss you,may i kiss you,puedo besarte,puis-je vous embrasser,darf ich dich küssen
124,may i sit here,may i sit here,Puedo sentarme aquí,Puis-je m'asseoir ici,Darf ich hier sitzen
125,may i use this,may i use this,puedo usar esto,puis-je utiliser ceci,darf ich das verwenden
126,men are idiots,men are idiots,los hombres son idiotas,les hommes sont des idiots,Männer sind Idioten
127,men are simple,men are simple,los hombres son simples,les hommes sont simples,Männer sind einfach
128,more is needed,more is needed,se necesita más,il en faut plus,es wird mehr benötigt
129,mum's the word,mum s the word,Mamá es la palabra,maman est le mot,Mama ist das Wort
130,my car's dirty,my car s dirty,mi carro esta sucio,ma voiture est sale,Mein Auto ist dreckig
131,my hair is wet,my hair is wet,mi pelo está mojado,mes cheveux sont mouillés,Mein Haar ist nass
132,my joints ache,my joints ache,me duelen las articulaciones,mes articulations me font mal,meine Gelenke schmerzen
133,my name is tom,my name is tom,mi nombre es Tom,mon nom est Tom,mein Name ist Tom
134,my nose itches,my nose itches,Me pica la naríz,mon nez me gratte,Meine Nase juckt
135,my plan worked,my plan worked,mi plan funciono,mon plan a fonctionné,mein plan ging auf
136,my tooth hurts,my tooth hurts,me duele el diente,ma dent fait mal,mein Zahn tut weh
137,my tummy hurts,my tummy hurts,me duele la barriga,mon ventre fait mal,mein Bauch tut weh
138,no one arrived,no one arrived,nadie llego,personne n'est arrivé,niemand kam
139,no one can say,no one can say,nadie puede decir,personne ne peut dire,niemand kann sagen
140,no one can see,no one can see,nadie puede ver,personne ne peut voir,niemand kann sehen
141,no one cheated,no one cheated,nadie engañó,personne n'a triché,niemand hat betrogen
142,no one escaped,no one escaped,nadie escapó,personne n'a échappé,niemand entkam
143,no one is home,no one is home,nadie está en casa,personne n'est à la maison,niemand ist zu hause
144,no one knew it,no one knew it,nadie lo sabía,personne ne le savait,niemand wusste es
145,no one laughed,no one laughed,nadie se rió,personne n'a ri,niemand lachte
146,no one noticed,no one noticed,nadie se percato,Personne n'a remarqué,niemand hat es bemerkt
147,no one told me,no one told me,nadie me dijo,personne ne m'a dit,niemand hat es mir gesagt
148,no one told us,no one told us,nadie nos dijo,personne ne nous a dit,niemand hat es uns gesagt
149,no one was hit,no one was hit,nadie fue golpeado,personne n'a été touché,niemand wurde getroffen
150,nobody is here,nobody is here,Nadie está aquí,personne n'est là,niemand ist hier
151,now i feel bad,now i feel bad,Ahora me siento mal,maintenant je me sens mal,jetzt fühle ich mich schlecht
152,now i know why,now i know why,ahora sé por qué,maintenant je sais pourquoi,jetzt weiß ich warum
153,now i remember,now i remember,ahora recuerdo,"Maintenant, je me souviens",jetzt erinnere ich mich
154,only god knows,only god knows,sólo Dios sabe,Dieu seul le sait,das weiß nur Gott
155,open the doors,open the doors,abre las puertas,ouvre les portes,öffne die Türen
156,open this door,open this door,abre esta puerta,ouvre cette porte,öffne diese Tür
157,open your eyes,open your eyes,abre tus ojos,ouvre tes yeux,öffne deine Augen
158,open your hand,open your hand,abre tu mano,ouvre ta main,öffne deine Hand
159,pack your gear,pack your gear,empaca tu equipo,emballez votre équipement,pack deine Ausrüstung
160,pigs can't fly,pigs cannot fly,los cerdos no pueden volar,les cochons ne peuvent pas voler,Schweine können nicht fliegen
161,play us a tune,play us a tune,tócanos una melodía,joue nous un air,Spiel uns eine Melodie
162,please come in,please come in,Por favor entra,s'il vous plait entrez,Bitte kommen Sie herein
163,please help me,please help me,"por favor, ayúdame","Aidez-moi, s'il vous plaît",Bitte hilf mir
164,please open it,please open it,por favor ábrelo,veuillez l'ouvrir,Bitte öffnen Sie es
165,please say yes,please say yes,porfavor di que si,S'il te plaît dis oui,Bitte sag ja
166,please tell me,please tell me,Por favor dígame,s'il vous plaît dites-moi,Bitte sagen Sie mir
167,prepare to die,prepare to die,Prepárate para morir,Préparez-vous à mourir,Bereite dich darauf vor zu sterben
168,prices went up,prices went up,los precios subieron,les prix ont augmenté,die Preise stiegen
169,prove it to me,prove it to me,Pruébamelo,prouve-le moi,Beweise es mir
170,pull over here,pull over here,deténgase aquí,Arrête ici,hier vorbeiziehen
171,put on the hat,put on the hat,ponte el sombrero,mettre le chapeau,den Hut aufsetzen
172,read this book,read this book,Lee este libro,lis ce livre,lies dieses Buch
173,read your book,read your book,Lee tu libro,lis ton livre,lies dein Buch
174,relax a moment,relax a moment,relájate un momento,détendez-vous un instant,entspannen Sie sich einen Moment
175,save me a seat,save me a seat,guárdame un asiento,garde moi une place,Reserviere mir einen Platz
176,say it clearly,say it clearly,dilo claramente,dis le clairement,sag es deutlich
177,say that again,say that again,Repitelo,répète ça,Sag das nochmal
178,school is over,school is over,la escuela terminó,l'école est finie,Die Schule ist vorbei
179,science is fun,science is fun,la ciencia es divertida,la science c'est amusant,Wissenschaft macht Spaß
180,seal the doors,seal the doors,sellar las puertas,sceller les portes,versiegeln die Türen
181,see you around,see you around,Ya nos veremos,À un de ces quatre,Bis demnächst
182,shall we order,shall we order,vamos a ordenar,allons-nous commander,sollen wir bestellen
183,she adores him,she adores him,ella lo adora,elle l'adore,sie verehrt ihn
184,she called him,she called him,ella lo llamó,elle l'a appelé,sie rief ihn an
185,she came alone,she came alone,ella vino sola,elle est venue seule,sie kam alleine
186,she can't swim,she cannot swim,ella no puede nadar,elle ne peut pas nager,Sie kann nicht schwimmen
187,she choked him,she choked him,ella lo ahogó,elle l'a étouffé,sie hat ihn gewürgt
188,she cooks well,she cooks well,ella cocina bien,elle cuisine bien,sie kocht gut
189,she ditched me,she ditched me,ella me abandonó,elle m'a largué,sie hat mich verlassen
190,she dumped him,she dumped him,ella lo dejo,elle l'a largué,sie hat ihn fallen gelassen
191,she fooled him,she fooled him,ella lo engañó,elle l'a trompé,sie hat ihn getäuscht
192,she gave money,she gave money,ella dio dinero,elle a donné de l'argent,sie gab geld
193,she got caught,she got caught,ella fue atrapada,elle s'est fait prendre,sie wurde erwischt
194,she grew roses,she grew roses,ella cultivó rosas,elle a fait pousser des roses,sie züchtete Rosen
195,she has a bike,she has a bike,ella tiene una bicicleta,elle a un vélo,sie hat ein Fahrrad
196,she has a book,she has a book,ella tiene un libro,elle a un livre,Sie hat ein Buch
197,she has brains,she has brains,ella tiene cerebro,elle a de la cervelle,sie hat hirn
198,she helped him,she helped him,ella lo ayudo,elle l'a aidé,sie hat ihm geholfen
199,she hugged him,she hugged him,ella lo abrazó,elle l'a embrassé,sie umarmte ihn
200,she is a nurse,she is a nurse,ella es una enfermera,elle est infirmière,sie ist eine Krankenschwester
201,she is awkward,she is awkward,ella es incómoda,elle est maladroite,sie ist ungeschickt
202,she is dieting,she is dieting,ella esta a dieta,elle est au régime,sie macht eine diät
203,she is out now,she is out now,ella está fuera ahora,elle est sortie maintenant,sie ist jetzt raus
204,she is talking,she is talking,ella está hablando,elle est en train de parler,Sie redet
205,she is walking,she is walking,ella está caminando,elle marche,Sie läuft
206,she isn't poor,she is not poor,ella no es pobre,elle n'est pas pauvre,sie ist nicht arm
207,she kept quiet,she kept quiet,ella se quedo callada,elle s'est tue,sie schwieg
208,she kicked him,she kicked him,ella lo pateó,elle lui a donné un coup de pied,sie hat ihn getreten
209,she kissed him,she kissed him,Ella lo besó,elle l'a embrassé,Sie küsste ihn
210,she liked that,she liked that,a ella le gustó eso,elle aimait ça,das gefiel ihr
211,she likes wine,she likes wine,a ella le gusta el vino,elle aime le vin,sie mag Wein
212,she looked ill,she looked ill,se veía enferma,elle avait l'air malade,sie sah krank aus
213,she loves cake,she loves cake,ella ama el pastel,elle aime le gâteau,sie liebt kuchen
214,she loves cats,she loves cats,ella ama a los gatos,elle aime les chats,sie liebt katzen
215,she might come,she might come,ella podría venir,elle pourrait venir,sie könnte kommen
216,she plays bach,she plays bach,ella toca bach,elle joue au bach,Sie spielt Bach
217,she seems rich,she seems rich,ella parece rica,elle a l'air riche,sie scheint reich zu sein
218,she shot a gun,she shot a gun,ella disparó un arma,elle a tiré avec une arme à feu,sie schoss eine Waffe
219,she sings well,she sings well,ella canta bien,elle chante bien,Sie singt gut
220,she smells bad,she smells bad,ella huele mal,elle sent mauvais,sie riecht schlecht
221,she swims well,she swims well,ella nada bien,elle nage bien,sie schwimmt gut
222,she teased him,she teased him,ella se burló de él,elle l'a taquiné,sie neckte ihn
223,she trusts him,she trusts him,ella confía en él,elle lui fait confiance,sie vertraut ihm
224,she types well,she types well,ella escribe bien,elle tape bien,sie tippt gut
225,she was crying,she was crying,ella estaba llorando,elle pleurait,Sie hat geweint
226,she works hard,she works hard,ella trabaja duro,elle travaille dur,Sie arbeitet hart
227,she's a beauty,she is a beauty,ella es una belleza,elle est une beauté,sie ist eine Schönheit
228,she's a hottie,she is a hottie,ella es una belleza,elle est une bombasse,Sie ist ein Hottie
229,she's a looker,she is a looker,ella es una mirada,elle est belle,Sie ist ein Hingucker
230,she's adorable,she is adorable,ella es adorable,elle est adorable,Sie ist bezaubernd
231,she's an angel,she is an angel,Ella es un ángel,elle est un ange,sie ist ein Engel
232,she's demented,she is demented,ella esta demente,elle est folle,sie ist dement
233,she's divorced,she is divorced,ella esta divorciada,Elle est divorcée,Sie ist geschieden
234,she's innocent,she is innocent,ella es inocente,elle est innocente,sie ist unschuldig
235,she's not here,she is not here,ella no está aquí,elle n'est pas là,Sie ist nicht hier
236,she's pregnant,she is pregnant,ella está embarazada,elle est enceinte,Sie ist schwanger
237,she's too loud,she is too loud,ella es demasiado ruidosa,elle est trop bruyante,sie ist zu laut
238,should i close,should i close,debo cerrar,dois-je fermer,soll ich schließen
239,should i leave,should i leave,debería irme,devrais-je partir,soll ich gehen
240,should i reply,should i reply,debería responder,dois-je répondre,soll ich antworten
241,should i start,should i start,debería empezar,dois-je commencer,soll ich anfangen
242,should we wait,should we wait,deberíamos esperar,doit-on attendre,sollen wir warten
243,show it to her,show it to her,mostrárselo a ella,montre lui,zeig es ihr
244,show it to him,show it to him,mostrárselo,montre lui,zeig es ihm
245,show us around,show us around,Muéstranos alrededor,fais nous visiter,zeigen Sie uns herum
246,shut that door,shut that door,cierra esa puerta,ferme cette porte,schließe diese Tür
247,shut your eyes,shut your eyes,cierra tus ojos,ferme tes yeux,Schließe deine Augen
248,sing me a song,sing me a song,Cantame una canción,chante-moi une chanson,sing mir ein Lied
249,sing us a song,sing us a song,cántanos una canción,chante nous une chanson,Sing uns ein Lied
250,smoke appeared,smoke appeared,apareció humo,de la fumée est apparue,Rauch erschien
251,smoking stinks,smoking stinks,fumar apesta,fumer pue,Rauchen stinkt
